society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
  indiabulls enigma,8.2,sector 110,11036.34,flat,7430.0,7430.0,5201.0,6315.5,5.0,6.0,"Indiabulls Enigma Sector 110, Gurgaon",12.0,north-east,moderatly old property,,1,1,1,0,1,2,221
  sobha city,4.9,sector 108,20913.36,flat,2343.0,2343.0,1522.95,1874.4,3.0,5.0,"Sobha City Sector 108, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,2,153
  vipul greens,2.8,sector 48,16816.82,flat,1665.0,1665.0,1082.25,1332.0,3.0,3.0,"Vipul Greens Sector 48, Gurgaon",2.0,east,old property,,0,1,0,0,0,1,172
  pioneer park,2.3,sector 61,16849.82,flat,1365.0,1365.0,819.0,1023.75,2.0,2.0,"Pioneer Park Sector 61, Gurgaon",6.0,north-east,moderatly old property,,0,0,0,0,0,1,169
"  block c, sushant lok phase 1, gurgaon",3.5,sector 43,,house,,,,,11.0,11.0,"  block c, sushant lok phase 1, gurgaon",5.0,north,new property,3+,0,0,0,0,0,0,28
"  tata primanti, sector 72, gurgaon",10.5,sector 72,15000.0,house,7000.0,9100.0,5950.0,7000.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,0,0,1,63
"  sector 27, gurgaon",11.25,sector 27,,house,,,,,6.0,6.0,"  sector 27, gurgaon",2.0,na,moderatly old property,3+,1,1,0,0,0,1,151
"  huda flats, sector 57, gurgaon",9.95,sector 57,,house,,,,,12.0,12.0,"  huda flats, sector 57, gurgaon",4.0,south-east,relatively new property,3+,0,1,0,0,0,1,39
  tata primanti,6.35,sector 72,19242.42,flat,3300.0,3300.0,2310.0,2805.0,4.0,5.0,"Tata Primanti Sector 72, Gurgaon",4.0,north-east,new property,,0,1,0,0,1,1,221
"  sector 43, gurgaon",10.5,sector 43,,house,,,,,3.0,3.0,"  sector 43, gurgaon",4.0,west,relatively new property,2,0,1,0,0,0,1,88
