,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
1254,"  cyber city, v block dlf phase 3, gurgaon",5.18,sector 23,31073.79,house,1667.0,2167.1,1416.95,1667.0,5.0,5.0,"  cyber city, v block dlf phase 3, gurgaon",2.0,north-east,relatively new property,3+,1,0,0,0,0,1,166
1255,  bestech altura,2.8,sector 79,13023.26,flat,2150.0,2150.0,1397.5,1720.0,3.0,4.0,"Bestech Altura Sector 79, Gurgaon",8.0,north-east,relatively new property,,0,1,0,0,0,2,172
1256,  vipul lavanya,1.42,sector 81,9102.56,flat,1560.0,1560.0,1014.0,1248.0,3.0,3.0,"Vipul Lavanya Sector 81, Gurgaon",12.0,north-east,moderatly old property,,0,0,0,0,1,1,212
1257,  godrej meridien,2.78,sector 106,14986.52,flat,1855.0,1855.0,1205.75,1484.0,3.0,3.0,"Godrej Meridien Sector 106, Gurgaon",10.0,north-east,new property,,0,0,0,0,0,1,93
1258,  m3m golfestate,10.25,sector 65,25561.1,flat,4010.0,4010.0,2606.5,3208.0,3.0,3.0,"M3M Golfestate Sector 65, Gurgaon",5.0,north,relatively new property,,1,1,1,0,1,0,221
1259,"  ss aaron ville, uppals southend, gurgaon",5.65,sector 49,265258.22,house,213.0,276.90000000000003,181.04999999999998,213.0,4.0,4.0,"  ss aaron ville, uppals southend, gurgaon",2.0,east,relatively new property,3+,1,1,1,0,1,1,141
1260,"  block c, sushant lok phase 1, gurgaon",10.2,sector 43,340000.0,house,300.0,390.0,255.0,300.0,8.0,8.0,"  block c, sushant lok phase 1, gurgaon",2.0,north,old property,3+,0,0,1,1,0,1,45
1261,  shapoorji pallonji joyville gurugram,2.55,sector 102,13768.9,flat,1852.0,1852.0,1203.8,1481.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",9.0,west,relatively new property,,0,0,0,0,0,1,175
1262,"  huda flats, sector 7, gurgaon",1.35,sector 7,221311.48,house,61.0,73.2,45.75,61.0,2.0,2.0,"  huda flats, sector 7, gurgaon",2.0,north-east,old property,2,0,0,0,0,0,2,39
1263,"  palam vihar, gurgaon",12.7,sector 1,244230.77,house,520.0,676.0,442.0,520.0,8.0,8.0,"  palam vihar, gurgaon",4.0,south,new property,3+,1,1,0,0,1,1,185
1264,  ireo skyon,3.9,sector 60,16229.71,flat,2403.0,2403.0,1561.95,1922.4,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",8.0,north-east,relatively new property,,0,1,0,0,0,1,137
1265,"  sector 10, gurgaon",2.5,sector 10,250000.0,house,100.0,125.0,80.0,100.0,3.0,3.0,"  sector 10, gurgaon",1.0,west,relatively new property,3,0,0,1,0,0,1,89
1266,"  eros rosewood city, sector 49, gurgaon",4.3,sector 49,31851.85,house,1350.0,1687.5,1080.0,1350.0,3.0,3.0,"  eros rosewood city, sector 49, gurgaon",2.0,east,moderatly old property,3,1,0,0,0,1,2,28
1267,"  sector 42, gurgaon",13.0,sector 42,490566.04,house,265.0,344.5,225.25,265.0,14.0,6.0,"  sector 42, gurgaon",4.0,east,relatively new property,3+,1,1,1,1,0,2,21
1268,"  unitech palms south city 1, south city 1, gurgaon",11.0,sector 41,458333.33,house,240.0,312.0,204.0,240.0,4.0,5.0,"  unitech palms south city 1, south city 1, gurgaon",2.0,south-east,new property,3+,1,1,1,0,1,1,207
1269,  m3m woodshire,1.8,sector 107,9264.02,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",3.0,north-east,relatively new property,,0,0,0,0,1,1,221
1270,"  palam vihar, gurgaon",18.0,sector 1,180000.0,house,1000.0,1300.0,850.0,1000.0,6.0,6.0,"  palam vihar, gurgaon",2.0,na,old property,3+,1,1,1,0,0,2,20
1271,"  garden villas, dlf phase 4, gurgaon",11.9,sector 28,440740.74,house,270.0,351.0,229.5,270.0,20.0,20.0,"  garden villas, dlf phase 4, gurgaon",4.0,east,relatively new property,3+,1,1,0,0,1,0,165
1272,  alpha corp gurgaonone 84,3.7,sector 84,10774.61,flat,3434.0,3434.0,2403.7999999999997,2918.9,4.0,4.0,"Alpha Corp GurgaonOne 84 Sector 84, Gurgaon",5.0,north-east,relatively new property,,0,0,0,1,0,1,96
1273,  m3m golfestate,9.25,sector 65,19506.54,flat,4742.0,4742.0,3082.3,3793.6000000000004,3.0,3.0,"M3M Golfestate Sector 65, Gurgaon",19.0,north-east,relatively new property,,0,1,1,0,0,2,221
1274,  ramprastha the edge towers,1.34,sector 37,,flat,,,,,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",6.0,west,relatively new property,,0,0,0,0,0,2,89
1275,  dlf the skycourt,2.25,sector 86,11664.07,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",2.0,north-east,relatively new property,,0,0,1,0,0,1,221
1276,  tulip purple,2.65,sector 69,11041.67,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",3.0,north,relatively new property,,0,1,0,0,0,2,118
1277,  vatika the seven lamps,2.8,sector 82,11546.39,flat,2425.0,2425.0,1697.5,2061.25,4.0,4.0,"Vatika The Seven Lamps Sector 82, Gurgaon",10.0,north,relatively new property,,1,1,1,0,1,2,77
1278,  ats tourmale,3.1,sector 109,11992.26,flat,2585.0,2585.0,1680.25,2068.0,3.0,4.0,"ATS Tourmaline Sector 109, Gurgaon",16.0,north-east,relatively new property,,0,1,0,0,0,1,211
1279,  adani m2k oyster grande,5.7,sector 102,12532.98,flat,4548.0,4548.0,3183.6,3865.7999999999997,4.0,4.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",4.0,north-east,relatively new property,,1,1,0,0,0,1,110
