,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
2576,"  whisperg meadows, sushant lok phase 1, gurgaon",13.25,sector 43,316985.65,house,418.0,543.4,355.3,418.0,4.0,4.0,"  whisperg meadows, sushant lok phase 1, gurgaon",2.0,north-east,old property,3+,1,1,1,0,1,1,119
2577,  emaar emerald hills,2.9,sector 65,82857.14,flat,350.0,350.0,244.99999999999997,297.5,4.0,4.0,"Emaar Emerald Hills Sector 65, Gurgaon",3.0,north,relatively new property,,0,1,0,0,1,2,146
2578,  unitech harmony,4.7,sector 50,14203.69,flat,3309.0,3309.0,2316.2999999999997,2812.65,4.0,4.0,"Unitech Harmony Nirvana Country, Gurgaon",0.0,east,relatively new property,,0,1,0,0,1,0,177
2579,"  dlf city plots, dlf phase 1, gurgaon",11.7,sector 26,390000.0,house,300.0,390.0,255.0,300.0,5.0,6.0,"  dlf city plots, dlf phase 1, gurgaon",3.0,north-east,old property,3+,1,1,1,0,0,1,126
2580,"  sector 14, gurgaon",6.5,sector 14,260000.0,house,250.0,325.0,212.5,250.0,4.0,4.0,"  sector 14, gurgaon",3.0,na,old property,3,0,0,0,0,0,1,60
2581,"  sector 39, gurgaon",8.55,sector 39,237500.0,house,360.0,468.0,306.0,360.0,10.0,10.0,"  sector 39, gurgaon",3.0,north,moderatly old property,3+,0,1,0,1,0,1,45
2582,  indiabulls centrum park,1.78,sector 103,9944.13,flat,1790.0,1790.0,1163.5,1432.0,3.0,3.0,"Indiabulls Centrum Park Sector 103, Gurgaon",8.0,east,relatively new property,,0,0,1,0,0,1,142
2583,"  sector 1 palam vihar, gurgaon",4.65,sector 1 sector 1,13676.47,house,3400.0,4420.0,2890.0,3400.0,4.0,4.0,"  sector 1 palam vihar, gurgaon",3.0,west,moderatly old property,3+,0,1,1,0,1,2,40
2584,"  ansals florence marvel, sushant lok phase 3, gurgaon",7.0,sector 57,19167.58,house,3652.0,4747.6,3104.2,3652.0,5.0,6.0,"  ansals florence marvel, sushant lok phase 3, gurgaon",2.0,east,moderatly old property,3+,1,1,1,0,0,0,186
2585,  godrej meridien,2.45,sector 106,15076.92,flat,1625.0,1625.0,1056.25,1300.0,3.0,3.0,"Godrej Meridien Sector 106, Gurgaon",11.0,north,new property,,0,0,0,0,1,2,85
2586,  unitech fresco,2.65,sector 50,14600.55,flat,1815.0,1815.0,1179.75,1452.0,3.0,3.0,"Unitech Fresco Nirvana Country, Gurgaon",9.0,north-east,moderatly old property,,0,1,0,0,0,1,155
2587,"  unitech espace, nirvana country, gurgaon",10.5,sector 50,362068.97,house,290.0,377.0,246.5,290.0,5.0,6.0,"  unitech espace, nirvana country, gurgaon",3.0,south,old property,3+,0,1,1,0,1,1,170
2588,"  sector 39, gurgaon",6.5,sector 39,247148.29,house,263.0,341.90000000000003,223.54999999999998,263.0,10.0,6.0,"  sector 39, gurgaon",2.0,south-east,moderatly old property,3+,1,0,1,0,1,2,91
2589,  emaar palm gardens,2.5,sector 83,13157.89,flat,1900.0,1900.0,1235.0,1520.0,3.0,4.0,"Emaar Palm Gardens Sector 83, Gurgaon",9.0,east,relatively new property,,0,1,0,0,0,1,87
2590,"  sector 7, gurgaon",3.25,sector 7,201863.35,house,161.0,209.3,136.85,161.0,4.0,4.0,"  sector 7, gurgaon",2.0,east,old property,2,1,0,0,0,0,2,7
2591,"  sector 38, gurgaon",8.0,sector 38,304182.51,house,263.0,341.90000000000003,223.54999999999998,263.0,9.0,9.0,"  sector 38, gurgaon",4.0,west,moderatly old property,3+,1,1,1,0,1,1,91
2592,  emaar gurgaon greens,1.89,sector 102,,flat,,,,,3.0,3.0,"Emaar Gurgaon Greens Sector 102, Gurgaon",4.0,east,moderatly old property,,0,1,1,0,0,2,137
2593,"  international city by sobha phase 2, sector 109, gurgaon",18.5,sector 109,370000.0,house,500.0,650.0,425.0,500.0,5.0,7.0,"  international city by sobha phase 2, sector 109, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,2,63
2594,"  sector 65, gurgaon",4.68,sector 65,117000.0,house,400.0,520.0,340.0,400.0,4.0,4.0,"  sector 65, gurgaon",1.0,north-east,moderatly old property,3,1,1,1,0,1,1,142
2595,  puri diplomatic greens,3.5,sector 111,19662.92,flat,1780.0,1780.0,1157.0,1424.0,3.0,3.0,"Puri Diplomatic Greens Sector 111, Gurgaon",7.0,north-east,moderatly old property,,0,0,0,1,0,2,125
2596,  experion the heartsong,2.35,sector 108,11547.91,flat,2035.0,2035.0,1322.75,1628.0,3.0,3.0,"Experion The Heartsong Sector 108, Gurgaon",5.0,north,relatively new property,,0,1,0,0,0,2,125
2597,"  sector 5, gurgaon",5.25,sector 5,199619.77,house,263.0,341.90000000000003,223.54999999999998,263.0,4.0,4.0,"  sector 5, gurgaon",2.0,south-west,old property,2,1,0,1,0,0,1,32
2598,  ss the leaf,1.75,sector 85,10670.73,flat,1640.0,1640.0,984.0,1230.0,2.0,2.0,"SS The Leaf Sector 85, Gurgaon",18.0,north-east,relatively new property,,0,0,1,0,0,0,207
2599,  bestech park view grand spa,4.1,sector 81,12872.84,flat,3185.0,3185.0,2229.5,2707.25,4.0,5.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",4.0,north,relatively new property,,0,1,1,0,0,1,166
2600,"  independent house sector 52, sector 52, gurgaon",3.95,sector 52,376190.48,house,105.0,136.5,89.25,105.0,9.0,9.0,"  independent house sector 52, sector 52, gurgaon",4.0,east,new property,3+,1,0,0,0,1,1,134
2601,"  emaar mgf marbella, sector 66, gurgaon",17.8,sector 66,356000.0,house,500.0,650.0,425.0,500.0,5.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",3.0,north-west,relatively new property,3+,1,1,1,0,1,0,207
2602,"  block c, sushant lok phase 1, gurgaon",3.7,sector 43,68518.52,house,540.0,702.0,459.0,540.0,10.0,10.0,"  block c, sushant lok phase 1, gurgaon",4.0,west,new property,3+,0,0,0,1,0,0,166
2603,  ireo the corridors,3.5,sector 67,13877.87,flat,2522.0,2522.0,1639.3,2017.6000000000001,3.0,3.0,"Ireo The Corridors Sector 67A, Gurgaon",11.0,north-east,relatively new property,,0,1,0,0,0,1,221
2604,  the close south,4.26,sector 50,17177.42,flat,2480.0,2480.0,1612.0,1984.0,3.0,4.0,"The Close South Nirvana Country, Gurgaon",8.0,north-west,moderatly old property,,0,1,0,0,0,1,110
2605,"  emaar emerald hills, sector 65, gurgaon",4.5,sector 65,11250.0,house,4000.0,5200.0,3400.0,4000.0,4.0,5.0,"  emaar emerald hills, sector 65, gurgaon",4.0,north,new property,2,1,1,1,0,1,2,177
2606,"  dlf cyber city, gurgaon",15.5,sector 24,270506.11,house,573.0,744.9,487.05,573.0,22.0,22.0,"  dlf cyber city, gurgaon",3.0,north-west,moderatly old property,3+,1,0,1,0,0,0,50
2607,  m3m heights,3.4,sector 65,17598.34,flat,1932.0,1932.0,1255.8,1545.6000000000001,3.0,3.0,"M3M Heights Sector 65, Gurgaon",20.0,east,new property,,0,0,1,0,0,1,137
2608,  pareena coban residences,2.1,sector 99,10515.77,flat,1997.0,1997.0,1298.05,1597.6000000000001,3.0,5.0,"Pareena Coban Residences Sector 99A, Gurgaon",14.0,north,new property,,0,1,0,0,0,1,110
2609,  godrej meridien,2.0,sector 106,,flat,,,,,2.0,2.0,"Godrej Meridien Sector 106, Gurgaon",11.0,east,new property,,0,0,0,1,0,2,192
2610,  ss the leaf,1.67,sector 85,10182.93,flat,1640.0,1640.0,984.0,1230.0,2.0,2.0,"SS The Leaf Sector 85, Gurgaon",8.0,east,relatively new property,,0,0,1,0,0,2,221
2611,  puri diplomatic greens,4.8,sector 111,16271.19,flat,2950.0,2950.0,2065.0,2507.5,4.0,5.0,"Puri Diplomatic Greens Sector 111, Gurgaon",21.0,west,moderatly old property,,0,1,0,0,0,1,77
2612,"  plot rate luxury kothi, dlf phase 1, gurgaon",8.5,sector 26,40476.19,house,2100.0,2730.0,1785.0,2100.0,5.0,6.0,"  plot rate luxury kothi, dlf phase 1, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,1,63
2613,  aipl the peaceful homes,3.4,sector 70,15813.95,flat,2150.0,2150.0,1397.5,1720.0,3.0,3.0,"AIPL The Peaceful Homes Sector 70A, Gurgaon",25.0,north-east,new property,,0,1,0,0,0,1,221
2614,"  block-a, dlf city phase 1, gurgaon",24.5,sector 26,490000.0,house,500.0,650.0,425.0,500.0,5.0,7.0,"  block-a, dlf city phase 1, gurgaon",3.0,west,old property,3,1,1,1,1,0,1,63
2615,"  nirvana cedar crest, nirvana country, gurgaon",15.0,sector 50,416666.67,house,360.0,468.0,306.0,360.0,9.0,5.0,"  nirvana cedar crest, nirvana country, gurgaon",3.0,east,relatively new property,3,0,0,0,0,0,1,63
2616,"  sector 46, gurgaon",5.5,sector 46,37957.21,house,1449.0,1883.7,1231.6499999999999,1449.0,6.0,6.0,"  sector 46, gurgaon",3.0,north-east,moderatly old property,2,1,0,0,0,0,1,128
2617,  dlf new town heights 1,2.75,sector 90,10084.34,flat,2727.0,2727.0,1908.8999999999999,2317.95,4.0,4.0,"DLF New Town Heights 1 Sector 90, Gurgaon",10.0,south,moderatly old property,,1,1,0,0,0,2,221
2618,  emaar mgf the palm drive,2.2,sector 66,18565.4,flat,1185.0,1185.0,711.0,888.75,2.0,2.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",7.0,north-east,moderatly old property,,0,0,0,1,0,1,221
2619,  dlf park place,8.0,sector 54,35056.97,flat,2282.0,2282.0,1483.3,1825.6000000000001,3.0,4.0,"DLF Park Place Sector 54, Gurgaon",23.0,east,old property,,0,1,0,0,0,0,170
2620,"  pocket e sector 2 palam vihar, gurgaon",10.0,sector 1,20000.0,house,5000.0,6500.0,4250.0,5000.0,4.0,4.0,"  pocket e sector 2 palam vihar, gurgaon",2.0,south-west,moderatly old property,2,0,1,0,1,0,0,63
2621,  ramprastha primera,1.62,sector 37,9126.76,flat,1775.0,1775.0,1153.75,1420.0,3.0,3.0,"Ramprastha Primera Sector 37D, Gurgaon",11.0,north-east,relatively new property,,0,0,0,0,0,2,94
2622,  ats tourmale,2.15,sector 109,12285.71,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",16.0,north-east,relatively new property,,0,0,0,0,0,2,72
2623,  pareena mi casa,1.53,sector 68,12289.16,flat,1245.0,1245.0,747.0,933.75,2.0,2.0,"Pareena Mi Casa Sector 68, Gurgaon",12.0,east,new property,,0,0,0,0,0,1,221
2624,  m3m heights,2.4,sector 65,19032.51,flat,1261.0,1261.0,756.6,945.75,2.0,2.0,"M3M Heights Sector 65, Gurgaon",12.0,north-east,new property,,0,0,0,0,0,1,203
2625,"  v block dlf phase 3, gurgaon",9.5,sector 23,70370.37,house,1350.0,1755.0,1147.5,1350.0,22.0,22.0,"  v block dlf phase 3, gurgaon",6.0,na,new property,3+,0,0,0,0,0,0,53
2626,  central park flower valley aqua front towers,3.0,sector 33,14058.11,flat,2134.0,2134.0,1387.1000000000001,1707.2,3.0,3.0,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",7.0,north,relatively new property,,0,1,0,0,0,2,137
2627,  adani m2k oyster grande,2.55,sector 102,13499.21,flat,1889.0,1889.0,1227.8500000000001,1511.2,3.0,3.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",3.0,north,relatively new property,,0,1,0,0,0,2,162
2628,  signature global city,1.72,sector 37,,flat,,,,,3.0,3.0,"Signature Global City Sector 37D, Gurgaon",3.0,na,new property,,1,0,0,1,0,1,134
2629,  shapoorji pallonji joyville gurugram,1.36,sector 102,14107.88,flat,964.0,964.0,578.4,723.0,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",10.0,south-east,relatively new property,,0,0,0,0,0,1,94
2630,  conscient elevate,5.35,sector 59,24451.55,flat,2188.0,2188.0,1422.2,1750.4,3.0,3.0,"Conscient Elevate Sector 59, Gurgaon",1.0,north-east,relatively new property,,0,0,0,1,0,1,221
2631,  vipul lavanya,1.4,sector 81,8974.36,flat,1560.0,1560.0,1014.0,1248.0,3.0,3.0,"Vipul Lavanya Sector 81, Gurgaon",6.0,east,moderatly old property,,0,0,0,0,0,1,87
2632,  tarc maceo,1.9,sector 91,10204.08,flat,1862.0,1862.0,1210.3,1489.6000000000001,3.0,3.0,"TARC Maceo Sector 91, Gurgaon",10.0,east,relatively new property,,0,0,0,0,0,2,133
2633,"  a block sushant lok phase 1, gurgaon",14.25,sector 43,340909.09,house,418.0,543.4,355.3,418.0,9.0,9.0,"  a block sushant lok phase 1, gurgaon",3.0,west,old property,3+,1,1,1,0,1,2,53
2634,  sbtl caladium,1.99,sector 109,10585.11,flat,1880.0,1880.0,1222.0,1504.0,3.0,2.0,"SBTL Caladium Sector 109, Gurgaon",12.0,north,relatively new property,,0,0,0,0,1,2,111
2635,"  tata primanti, sector 72, gurgaon",8.0,sector 72,30651.34,house,2610.0,3393.0,2218.5,2610.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",2.0,north,new property,2,1,1,0,0,1,2,85
2636,  experion the heartsong,2.0,sector 108,11376.56,flat,1758.0,1758.0,1142.7,1406.4,3.0,3.0,"Experion The Heartsong Sector 108, Gurgaon",10.0,south-west,relatively new property,,0,1,1,0,0,0,137
2637,  unitech escape,3.35,sector 50,16341.46,flat,2050.0,2050.0,1332.5,1640.0,3.0,4.0,"Unitech Escape Nirvana Country, Gurgaon",17.0,north,moderatly old property,,0,1,0,1,0,1,221
2638,  ireo the grand arch,3.5,sector 58,21472.39,flat,1630.0,1630.0,978.0,1222.5,2.0,2.0,"Ireo The Grand Arch sector 58, Gurgaon",3.0,north-east,moderatly old property,,0,0,1,1,0,1,221
2639,"  new colony, gurgaon",2.13,sector 7,200000.0,house,106.5,122.475,74.55,106.5,1.0,1.0,"  new colony, gurgaon",1.0,south,relatively new property,2,0,0,0,0,0,2,66
2640,  pareena mi casa,2.41,sector 68,12056.03,flat,1999.0,1999.0,1299.3500000000001,1599.2,3.0,4.0,"Pareena Mi Casa Sector 68, Gurgaon",20.0,east,new property,,0,1,0,0,0,1,221
2641,  m3m skycity,3.4,sector 65,18599.56,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Skycity Sector 65, Gurgaon",11.0,north-east,new property,,0,0,0,1,0,2,182
2642,"  sector 45, gurgaon",20.0,sector 45,57142.86,house,3500.0,4550.0,2975.0,3500.0,36.0,36.0,"  sector 45, gurgaon",4.0,na,relatively new property,3+,1,1,1,0,1,0,198
2643,  pareena express heights,2.0,sector 99,8247.42,flat,2425.0,2425.0,1697.5,2061.25,4.0,4.0,"Pareena Express Heights Sector 99, Gurgaon",6.0,na,new property,,0,1,0,0,0,2,53
2644,"  sushant lok phase 3, gurgaon",7.4,sector 57,246666.67,house,300.0,390.0,255.0,300.0,6.0,6.0,"  sushant lok phase 3, gurgaon",4.0,north-east,old property,3+,1,1,1,0,1,2,57
2645,"  vipul tatvam villa, sector 48, gurgaon",10.35,sector 48,,house,,,,,5.0,5.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,south,relatively new property,3,1,1,1,1,0,1,63
2646,"  sector 78, gurgaon",4.25,sector 78,,house,,,,,4.0,3.0,"  sector 78, gurgaon",4.0,na,new property,2,0,1,0,0,0,2,76
2647,  ats triumph,2.75,sector 104,12008.73,flat,2290.0,2290.0,1488.5,1832.0,3.0,3.0,"ATS Triumph Sector 104, Gurgaon",18.0,north-east,relatively new property,,0,1,0,0,0,2,125
2648,"  nirvana country, gurgaon",17.0,sector 50,472222.22,house,360.0,468.0,306.0,360.0,10.0,10.0,"  nirvana country, gurgaon",4.0,north-east,moderatly old property,3+,1,1,0,0,0,2,10
2649,  tata gurgaon gateway,2.35,sector 113,14873.42,flat,1580.0,1580.0,948.0,1185.0,2.0,2.0,"Tata Gurgaon Gateway Sector 113, Gurgaon",17.0,north-west,relatively new property,,0,0,1,0,0,2,87
2650,  conscient elevate,5.3,sector 59,24223.03,flat,2188.0,2188.0,1422.2,1750.4,3.0,3.0,"Conscient Elevate Sector 59, Gurgaon",3.0,north-east,relatively new property,,0,0,0,0,0,2,128
2651,"  sector 105, gurgaon",0.95,sector 105,135714.29,house,70.0,87.5,56.0,70.0,3.0,2.0,"  sector 105, gurgaon",2.0,west,moderatly old property,1,1,0,1,0,0,2,18
2652,  paras dews,2.3,sector 106,9766.45,flat,2355.0,2355.0,1648.5,2001.75,4.0,6.0,"Paras Dews Sector 106, Gurgaon",10.0,south-east,relatively new property,,0,1,0,0,0,1,197
2653,"  ansal homes, sushant lok phase 3, gurgaon",6.5,sector 57,216666.67,house,300.0,390.0,255.0,300.0,4.0,6.0,"  ansal homes, sushant lok phase 3, gurgaon",2.0,north-east,moderatly old property,3+,1,1,1,0,1,1,189
2654,  emaar palm gardens,2.4,sector 83,,flat,,,,,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",8.0,north,moderatly old property,,0,1,0,0,0,1,177
2655,  ats kocoon,2.08,sector 109,9928.4,flat,2095.0,2095.0,1361.75,1676.0,3.0,4.0,"ATS Kocoon Sector 109, Gurgaon",12.0,north-east,relatively new property,,0,1,0,0,0,1,185
2656,  ireo the corridors,2.62,sector 67,13638.73,flat,1921.0,1921.0,1248.65,1536.8000000000002,3.0,3.0,"Ireo The Corridors Sector 67A, Gurgaon",5.0,north,new property,,0,1,0,0,1,1,188
2657,  tarc maceo,2.55,sector 91,10991.38,flat,2320.0,2320.0,1508.0,1856.0,3.0,4.0,"TARC Maceo Sector 91, Gurgaon",6.0,north,relatively new property,,0,1,1,0,0,1,103
2658,  m3m soulitude,1.2,sector 89,10879.42,flat,1103.0,1103.0,661.8,827.25,2.0,2.0,"M3M Soulitude Sector 89, Gurgaon",3.0,north-east,new property,,0,0,1,1,0,2,198
2659,"  vipul tatvam villa, sector 48, gurgaon",10.5,sector 48,291666.67,house,360.0,468.0,306.0,360.0,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",3.0,east,relatively new property,3,0,1,0,0,1,1,198
2660,"  sector 57, gurgaon",6.0,sector 57,359281.44,house,167.0,217.1,141.95,167.0,6.0,6.0,"  sector 57, gurgaon",2.0,west,relatively new property,3+,1,1,1,0,1,1,106
2661,"  south city 1, gurgaon",11.01,sector 41,305833.33,house,360.0,468.0,306.0,360.0,6.0,6.0,"  south city 1, gurgaon",3.0,north-east,moderatly old property,3,1,1,1,0,0,1,112
2662,"  south city 1, gurgaon",6.5,sector 41,270833.33,house,240.0,312.0,204.0,240.0,6.0,6.0,"  south city 1, gurgaon",2.0,north,relatively new property,3+,1,1,1,0,1,1,89
2663,  dlf the ultima,3.59,sector 81,16838.65,flat,2132.0,2132.0,1385.8,1705.6000000000001,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",21.0,north-west,relatively new property,,0,1,0,0,0,0,221
2664,  ats marigold,2.88,sector 89,10867.92,flat,2650.0,2650.0,1722.5,2120.0,3.0,4.0,"ATS Marigold Sector 89 A, Gurgaon",10.0,east,new property,,0,1,1,0,0,2,109
2665,  tulip purple,2.77,sector 69,11541.67,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",10.0,north,relatively new property,,0,1,0,0,0,2,107
2666,  tata primanti,5.2,sector 72,20392.16,flat,2550.0,2550.0,1657.5,2040.0,3.0,3.0,"Tata Primanti Sector 72, Gurgaon",6.0,south-west,relatively new property,,0,1,0,0,0,1,94
2667,"  vipul world, sector 48, gurgaon",5.75,sector 48,299479.17,house,192.0,249.60000000000002,163.2,192.0,9.0,9.0,"  vipul world, sector 48, gurgaon",3.0,west,relatively new property,3+,0,0,0,0,0,1,183
2668,  adani m2k oyster grande,3.59,sector 102,11225.77,flat,3198.0,3198.0,2238.6,2718.2999999999997,4.0,5.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",6.0,north,relatively new property,,1,1,0,0,0,2,93
2669,  ireo victory valley,5.39,sector 67,20683.04,flat,2606.0,2606.0,1693.9,2084.8,3.0,3.0,"Ireo Victory Valley Sector 67, Gurgaon",5.0,north-east,relatively new property,,0,1,0,0,0,1,221
2670,"  sushant lok 3 extension, gurgaon",10.0,sector 57,380228.14,house,263.0,341.90000000000003,223.54999999999998,263.0,12.0,12.0,"  sushant lok 3 extension, gurgaon",4.0,north,new property,3+,0,1,0,0,0,1,40
2671,  residency grand,5.99,sector 52,9983.33,flat,6000.0,6000.0,4200.0,5100.0,5.0,6.0,"Residency Grand Sector 52, Gurgaon",0.0,north,moderatly old property,,0,1,0,0,1,1,197
2672,  indiabulls enigma,4.85,sector 110,14264.71,flat,3400.0,3400.0,2380.0,2890.0,4.0,5.0,"Indiabulls Enigma Sector 110, Gurgaon",3.0,south-west,relatively new property,,0,1,0,0,0,2,59
2673,"  orchid petals, sector 49, gurgaon",18.0,sector 49,360000.0,house,500.0,650.0,425.0,500.0,5.0,6.0,"  orchid petals, sector 49, gurgaon",3.0,east,relatively new property,3+,0,1,1,0,1,2,119
2674,"  emaar the palm sprgs, sector 54, gurgaon",27.5,sector 54,42968.75,house,6400.0,8320.0,5440.0,6400.0,5.0,6.0,"  emaar the palm sprgs, sector 54, gurgaon",4.0,north,relatively new property,3+,1,1,1,0,1,0,207
2675,  antriksh heights,1.0,sector 84,8888.89,flat,1125.0,1125.0,675.0,843.75,2.0,2.0,"Antriksh Heights Sector 84, Gurgaon",8.0,south-west,moderatly old property,,0,0,0,0,0,2,149
2676,  chtels serenity,3.35,sector 109,14105.26,flat,2375.0,2375.0,1543.75,1900.0,3.0,4.0,"Chintels Serenity Sector 109, Gurgaon",14.0,north-east,relatively new property,,0,1,0,0,0,2,167
2677,  m3m skycity,3.3,sector 65,18052.52,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Skycity Sector 65, Gurgaon",9.0,north-east,new property,,0,0,0,0,1,1,163
2678,"  vipul tatvam villa, sector 48, gurgaon",11.0,sector 48,305555.56,house,360.0,468.0,306.0,360.0,4.0,5.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,west,relatively new property,3,0,1,0,0,0,1,63
2679,  mapsko paradise,1.33,sector 83,9925.37,flat,1340.0,1340.0,871.0,1072.0,3.0,3.0,"Mapsko Paradise Sector 83, Gurgaon",9.0,north,moderatly old property,,0,0,0,1,0,1,186
2680,  pareena express heights,2.05,sector 99,10991.96,flat,1865.0,1865.0,1212.25,1492.0,3.0,3.0,"Pareena Express Heights Sector 99, Gurgaon",7.0,north-east,relatively new property,,0,0,0,0,0,2,79
2681,"  dlf phase 4, gurgaon",13.81,sector 28,,house,,,,,5.0,6.0,"  dlf phase 4, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190
2682,  emaar mgf palm hills,1.79,sector 77,12344.83,flat,1450.0,1450.0,942.5,1160.0,3.0,3.0,"Emaar MGF Palm Hills Sector 77, Gurgaon",3.0,west,relatively new property,,0,1,1,0,0,1,94
2683,"  sector 57, gurgaon",2.25,sector 57,375000.0,house,60.0,75.0,48.0,60.0,3.0,3.0,"  sector 57, gurgaon",3.0,south,relatively new property,3+,0,0,0,0,1,2,17
2684,  dlf the ultima,3.75,sector 81,17831.67,flat,2103.0,2103.0,1366.95,1682.4,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",15.0,north-west,relatively new property,,0,1,0,0,0,0,110
2685,"  ansals palam vihar, pocket e sector 2 palam vihar, gurgaon",5.15,sector 1,190740.74,house,270.0,337.5,216.0,270.0,3.0,2.0,"  ansals palam vihar, pocket e sector 2 palam vihar, gurgaon",1.0,west,moderatly old property,2,0,0,0,0,1,2,94
2686,  emaar mgf the palm drive,4.5,sector 66,20454.55,flat,2200.0,2200.0,1430.0,1760.0,3.0,4.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",7.0,north,moderatly old property,,0,1,0,0,0,1,138
2687,"  sector 15 part 2, gurgaon",6.0,sector 15,294117.65,house,204.0,255.0,163.20000000000002,204.0,3.0,3.0,"  sector 15 part 2, gurgaon",1.0,north-east,old property,2,0,0,0,0,0,2,8
2688,  dlf the primus,3.98,sector 82,15272.45,flat,2606.0,2606.0,1824.1999999999998,2215.1,4.0,4.0,"DLF The Primus Sector 82A, Gurgaon",5.0,north-east,relatively new property,,0,1,0,0,0,1,214
2689,  shapoorji pallonji joyville gurugram,2.5,sector 102,13498.92,flat,1852.0,1852.0,1203.8,1481.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",20.0,south-west,relatively new property,,0,0,0,0,0,2,212
2690,  experion the heartsong,1.95,sector 108,11092.15,flat,1758.0,1758.0,1142.7,1406.4,3.0,3.0,"Experion The Heartsong Sector 108, Gurgaon",10.0,south-east,relatively new property,,0,1,1,0,0,0,203
2691,  ramprastha primera,1.55,sector 37,8732.39,flat,1775.0,1775.0,1153.75,1420.0,3.0,3.0,"Ramprastha Primera Sector 37D, Gurgaon",8.0,south-east,relatively new property,,0,0,0,0,0,2,94
2692,  dlf park place,9.0,sector 54,,flat,,,,,4.0,4.0,"DLF Park Place Sector 54, Gurgaon",1.0,east,old property,,0,1,0,0,0,0,221
2693,  dlf park place,9.65,sector 54,35687.87,flat,2704.0,2704.0,1892.8,2298.4,4.0,4.0,"DLF Park Place Sector 54, Gurgaon",17.0,east,old property,,0,1,0,0,0,1,110
2694,"  international city by sobha phase 1, sector 109, gurgaon",8.5,sector 109,314814.81,house,270.0,351.0,229.5,270.0,5.0,5.0,"  international city by sobha phase 1, sector 109, gurgaon",3.0,north-east,relatively new property,3+,0,1,1,0,1,2,50
2695,"  greenwood city, gurgaon",7.51,sector 45,,house,,,,,5.0,6.0,"  greenwood city, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,0,2,190
2696,  pareena coban residences,1.7,sector 99,10967.74,flat,1550.0,1550.0,930.0,1162.5,2.0,2.0,"Pareena Coban Residences Sector 99A, Gurgaon",6.0,west,relatively new property,,0,0,1,0,0,1,100
2697,  tata gurgaon gateway,3.85,sector 113,14951.46,flat,2575.0,2575.0,1673.75,2060.0,3.0,4.0,"Tata Gurgaon Gateway Sector 113, Gurgaon",7.0,south,relatively new property,,0,1,0,0,0,2,153
2698,"  dlf gardencity enclave, sector 93, gurgaon",1.78,sector 93,99441.34,house,179.0,223.75,143.20000000000002,179.0,3.0,3.0,"  dlf gardencity enclave, sector 93, gurgaon",4.0,north-east,new property,3,0,0,0,0,1,2,190
2699,  central park flower valley aqua front towers,2.5,sector 33,13974.29,flat,1789.0,1789.0,1162.8500000000001,1431.2,3.0,3.0,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",5.0,north-east,new property,,0,1,1,0,0,2,140
2700,"  ss aaron ville, uppals southend, gurgaon",6.0,sector 49,230769.23,house,260.0,338.0,221.0,260.0,4.0,5.0,"  ss aaron ville, uppals southend, gurgaon",1.0,north,moderatly old property,3+,1,1,1,0,0,1,63
2701,"  dlf phase 4, gurgaon",16.25,sector 28,,house,,,,,5.0,7.0,"  dlf phase 4, gurgaon",3.0,north-west,relatively new property,3,1,1,1,0,1,1,199
2702,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",3.31,sector 43,,house,,,,,10.0,10.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,north-east,relatively new property,3+,0,0,0,0,1,0,148
2703,"  signature global city 92, sector 92, gurgaon",1.6,sector 92,13333.33,house,1200.0,1500.0,960.0,1200.0,3.0,2.0,"  signature global city 92, sector 92, gurgaon",4.0,east,under construction,2,0,0,0,0,0,1,98
