,name,price,link
118,"7 Bedroom House in DLF Phase 1, Gurgaon",₹19 Cr,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-5680-sq-ft-spid-B80275407
119,"6 Bedroom House in DLF Phase 1, Gurgaon",₹24 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-4560-sq-ft-spid-M80248609
120,"5 Bedroom House in DLF Phase 2, Gurgaon",₹19 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-the-vilas-dlf-phase-2-gurgaon-3240-sq-ft-spid-N80120653
121,"3 Bedroom House in South City 1, Gurgaon",₹2.3 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-south-city-1-gurgaon-540-sq-ft-spid-A79934403
122,"3 Bedroom House in Sector 45, Gurgaon",₹2.3 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-45-gurgaon-540-sq-ft-spid-E79934485
123,"4 Bedroom House in Nirvana Country, Gurgaon",₹15 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-aspen-greens-nirvana-country-gurgaon-3060-sq-ft-spid-Y80006611
124,"3 Bedroom House in Sector 63A, Gurgaon",₹3.05 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-birla-navya-sector-63a-gurgaon-2500-sq-ft-spid-W80150675
125,"9 Bedroom House in Sector 56, Gurgaon",₹2.8 Cr,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-ansal-sushant-lok-2-sector-56-gurgaon-531-sq-ft-spid-E80113543
126,"1 Bedroom House in Block N South City 1, Gurgaon",₹3 Cr,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-block-n-south-city-1-gurgaon-540-sq-ft-spid-S80163261
127,"2 Bedroom House in Sector 39, Gurgaon",₹3.05 Cr,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-900-sq-ft-spid-V80148321
128,"10 Bedroom House in Patel Nagar, Gurgaon",₹3.7 Cr,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-patel-nagar-gurgaon-2000-sq-ft-spid-E80148319
129,"2 Bedroom House in Sector 39, Gurgaon",₹3.05 Cr,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-900-sq-ft-spid-Y80148277
130,"4 Bedroom House in Sector 45, Gurgaon",₹6.4 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-palm-floors-1-sector-45-gurgaon-1800-sq-ft-spid-D80048901
131,"9 Bedroom House in Sector 47, Gurgaon",₹3.35 Cr,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-648-sq-ft-spid-U80122099
132,"11 Bedroom House in Sushant Lok Phase 1, Gurgaon",₹3.45 Cr,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-1-builder-floors-sushant-lok-phase-1-gurgaon-2970-sq-ft-r5-spid-X70110808
133,"5 Bedroom House in Block M DLF phase 2, Gurgaon",₹19.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-the-vilas-block-m-dlf-phase-2-gurgaon-58500-sq-ft-spid-K80062513
134,"5 Bedroom House in S Block DLF Phase 3, Gurgaon",₹2.28 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-s-block-dlf-phase-3-gurgaon-540-sq-ft-spid-P80077267
